latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2011-06-09,5.8,11.6,199
2011-06-10,6.3,15.0,220
2011-06-11,4.1,10.3,254
2011-06-12,7.4,16.6,204
2011-06-13,14.2,30.4,213
2011-06-14,6.9,16.1,210
2011-06-15,4.6,13.9,220
2011-06-16,5.3,15.2,209
2011-06-17,4.5,9.6,217
2011-06-18,9.6,20.1,201
2011-06-19,8.5,18.6,206
2011-06-20,4.0,9.4,192
2011-06-21,4.4,12.1,37
2011-06-22,8.1,17.2,217
2011-06-23,8.3,20.1,206
2011-06-24,4.9,15.4,211
2011-06-25,6.8,13.4,32
2011-06-26,4.3,12.5,17
2011-06-27,6.1,8.7,357
2011-06-28,7.9,14.8,224
2011-06-29,13.8,28.4,210
2011-06-30,10.3,22.8,209
2011-07-01,5.6,14.5,3
2011-07-02,6.3,13.2,244
2011-07-03,10.2,20.1,212
2011-07-04,5.9,15.2,8
2011-07-05,6.5,16.6,10
2011-07-06,5.2,14.1,12
2011-07-07,11.5,25.9,212
2011-07-08,8.9,17.4,192
2011-07-09,5.8,16.6,14
2011-07-10,4.5,11.6,355
2011-07-11,5.5,14.3,237
2011-07-12,5.9,14.1,201
2011-07-13,9.0,21.3,202
2011-07-14,9.4,20.4,193
2011-07-15,7.6,16.6,205
2011-07-16,7.0,21.3,191
2011-07-17,5.9,14.8,312
2011-07-18,4.5,11.9,321
2011-07-19,11.0,26.8,204
2011-07-20,7.9,17.7,196
2011-07-21,11.0,24.8,205
2011-07-22,5.5,13.0,193
2011-07-23,7.8,17.7,6
2011-07-24,5.9,15.4,14
2011-07-25,8.3,19.0,201
2011-07-26,6.7,15.9,204
2011-07-27,4.6,11.9,355
2011-07-28,5.1,14.8,15
2011-07-29,5.4,11.9,353
2011-07-30,6.1,10.7,245
2011-07-31,7.4,16.3,214
2011-08-01,6.9,18.1,14
2011-08-02,5.4,13.2,203
2011-08-03,6.6,15.0,344
2011-08-04,5.5,13.4,351
2011-08-05,6.5,15.0,209
2011-08-06,3.6,11.6,243
2011-08-07,3.5,10.7,226
2011-08-08,5.6,12.3,220
2011-08-09,6.3,14.8,221
2011-08-10,6.0,13.9,217
2011-08-11,4.4,12.5,266
2011-08-12,4.0,11.4,357
2011-08-13,6.3,14.1,210
2011-08-14,6.3,13.9,214
2011-08-15,5.1,11.2,304
2011-08-16,5.9,14.3,11
2011-08-17,5.1,11.6,349
2011-08-18,4.5,16.3,335
2011-08-19,8.5,20.4,10
2011-08-20,6.5,16.8,15
2011-08-21,7.9,15.0,205
2011-08-22,13.7,29.1,201
2011-08-23,9.5,19.9,204
2011-08-24,6.4,16.1,13
2011-08-25,4.7,13.2,352
2011-08-26,6.1,15.7,1
2011-08-27,6.1,17.0,4
2011-08-28,6.8,11.9,326
2011-08-29,8.6,19.7,210
2011-08-30,5.3,13.4,223
2011-08-31,5.6,15.9,213
2011-09-01,5.0,12.3,200
2011-09-02,6.7,18.3,9
2011-09-03,9.0,21.0,13
2011-09-04,4.7,11.2,41
2011-09-05,4.3,10.5,125
2011-09-06,5.4,12.3,2
2011-09-07,9.4,21.5,15
2011-09-08,5.9,15.9,28
2011-09-09,7.6,18.6,19
2011-09-10,7.6,17.7,21
2011-09-11,5.5,13.9,33
2011-09-12,8.4,17.0,206
2011-09-13,5.1,12.3,231
2011-09-14,3.5,8.7,300
2011-09-15,9.6,21.7,203
2011-09-16,7.6,17.0,201
2011-09-17,10.3,22.8,182
2011-09-18,11.2,23.7,193
2011-09-19,6.1,16.3,8
2011-09-20,4.0,9.6,35
2011-09-21,7.6,15.7,177
2011-09-22,8.8,18.6,189
2011-09-23,9.8,21.7,194
2011-09-24,6.9,15.7,193
2011-09-25,18.5,44.3,198
2011-09-26,13.7,30.4,164
2011-09-27,11.0,25.5,205
2011-09-28,10.8,25.7,16
2011-09-29,5.2,12.8,62
2011-09-30,7.4,17.9,12
2011-10-01,7.4,17.0,195
2011-10-02,5.1,15.7,107
2011-10-03,8.8,21.9,170
2011-10-04,10.3,24.6,185
2011-10-05,7.7,18.3,190
2011-10-06,6.3,14.3,213
2011-10-07,8.8,20.1,193
2011-10-08,8.2,20.1,177
2011-10-09,6.0,13.2,182
2011-10-10,12.1,31.8,177
2011-10-11,15.4,37.6,201
2011-10-12,11.1,25.5,192
2011-10-13,9.2,21.3,17
2011-10-14,5.9,12.1,16
2011-10-15,7.6,19.0,12
2011-10-16,4.9,10.3,16
2011-10-17,7.7,15.4,20
2011-10-18,6.5,15.4,34
2011-10-19,10.9,24.2,187
2011-10-20,7.7,16.6,179
2011-10-21,11.7,26.2,185
2011-10-22,13.6,30.0,202
2011-10-23,6.5,16.3,193
2011-10-24,4.5,12.3,120
2011-10-25,6.3,16.6,26
2011-10-26,9.6,19.0,178
2011-10-27,6.8,15.0,31
2011-10-28,13.0,26.6,179
2011-10-29,7.6,16.6,167
2011-10-30,11.7,25.1,189
2011-10-31,6.1,17.0,160
2011-11-01,3.8,8.1,98
2011-11-02,11.9,21.9,153
2011-11-03,9.4,21.3,180
2011-11-04,5.7,12.5,112
2011-11-05,6.0,13.2,112
2011-11-06,4.2,10.1,55
2011-11-07,9.4,18.8,171
2011-11-08,9.5,20.1,169
2011-11-09,6.6,13.0,114
2011-11-10,7.6,15.4,141
2011-11-11,15.7,37.4,190
2011-11-12,16.5,33.8,186
2011-11-13,13.8,29.3,208
2011-11-14,13.1,27.7,208
2011-11-15,5.9,13.4,139
2011-11-16,15.7,35.8,145
2011-11-17,17.1,39.6,205
2011-11-18,9.5,20.1,187
2011-11-19,5.0,11.0,46
2011-11-20,5.4,12.3,87
2011-11-21,16.0,38.0,159
2011-11-22,21.1,61.5,173
2011-11-23,18.4,53.7,188
2011-11-24,16.3,41.6,175
2011-11-25,13.9,29.8,191
2011-11-26,7.0,15.7,125
2011-11-27,15.7,32.9,192
2011-11-28,4.3,9.8,62
2011-11-29,10.8,22.4,182
2011-11-30,9.9,22.1,20
2011-12-01,5.6,14.1,120
2011-12-02,4.9,10.5,99
2011-12-03,3.6,8.5,144
2011-12-04,5.9,15.2,23
2011-12-05,4.5,8.9,24
2011-12-06,2.5,8.3,212
2011-12-07,6.2,10.3,22
2011-12-08,7.5,13.9,14
2011-12-09,5.8,12.8,51
2011-12-10,6.5,15.2,159
2011-12-11,7.0,17.0,24
2011-12-12,5.6,13.6,30
2011-12-13,4.3,10.3,106
2011-12-14,5.1,11.0,150
2011-12-15,5.9,9.6,128
2011-12-16,6.5,13.9,177
2011-12-17,10.5,22.8,158
2011-12-18,10.5,22.4,189
2011-12-19,4.8,9.4,177
2011-12-20,7.9,17.9,184
2011-12-21,6.1,11.6,83
2011-12-22,6.3,15.9,108
2011-12-23,7.9,17.0,165
2011-12-24,6.9,13.4,147
2011-12-25,20.8,49.4,185
2011-12-26,10.0,23.3,168
2011-12-27,18.7,38.9,180
